St.no;Year;Mnth;Date;Time(NMT);TA
25110;2006;1;23;10;-9.4
25110;2006;1;23;11;-8.6
25110;2006;1;23;12;-8.1
25110;2006;1;23;13;-8.3
25110;2006;1;23;14;-7.5
25110;2006;1;23;15;-6.9
25110;2006;1;23;16;-6.9
25110;2006;1;23;17;-7.4
25110;2006;1;23;18;-7.1
25110;2006;1;23;19;-7.1
25110;2006;1;23;20;-8.0
25110;2006;1;23;21;-7.7
25110;2006;1;23;22;-8.0
25110;2006;1;23;23;-7.6
25110;2006;1;23;24;-7.6
25110;2006;1;24;1;-7.6
25110;2006;1;24;2;-8.6
25110;2006;1;24;3;-8.5
25110;2006;1;24;4;-5.4
25110;2006;1;24;5;-4.4
25110;2006;1;24;6;-1.1
25110;2006;1;24;7;-1.2
25110;2006;1;24;8;-1.3
25110;2006;1;24;9;-1.6
25110;2006;1;24;10;-0.5
25110;2006;1;24;11;0.2
25110;2006;1;24;12;1.3
25110;2006;1;24;13;0.7
25110;2006;1;24;14;2.6
25110;2006;1;24;15;2.9
25110;2006;1;24;16;3.4
25110;2006;1;24;17;3.1
25110;2006;1;24;18;1.3
25110;2006;1;24;19;0.8
25110;2006;1;24;20;0.7
25110;2006;1;24;21;-0.4
25110;2006;1;24;22;-2.6
25110;2006;1;24;23;-3.3
25110;2006;1;24;24;-3.4
25110;2006;1;25;1;-2.6
25110;2006;1;25;2;-5.0
25110;2006;1;25;3;-3.3
25110;2006;1;25;4;-3.9
25110;2006;1;25;5;-4.2
25110;2006;1;25;6;-4.8
25110;2006;1;25;7;-6.4
25110;2006;1;25;8;-6.8
25110;2006;1;25;9;-7.3
25110;2006;1;25;10;-7.4
25110;2006;1;25;11;-5.9
25110;2006;1;25;12;-5.0
25110;2006;1;25;13;-4.4
25110;2006;1;25;14;-2.7
25110;2006;1;25;15;-4.0
25110;2006;1;25;16;-4.6
25110;2006;1;25;17;-6.3
25110;2006;1;25;18;-6.3
25110;2006;1;25;19;-8.6
25110;2006;1;25;20;-9.7
25110;2006;1;25;21;-12.2
25110;2006;1;25;22;-13.9
25110;2006;1;25;23;-9.3
25110;2006;1;25;24;-12.7
25110;2006;1;26;1;-16.1
25110;2006;1;26;2;-17.4
25110;2006;1;26;3;-18.2
25110;2006;1;26;4;-18.6
25110;2006;1;26;5;-20.4
25110;2006;1;26;6;-20.1
25110;2006;1;26;7;-20.9
25110;2006;1;26;8;-20.8
25110;2006;1;26;9;-21.8
25110;2006;1;26;10;-20.9
25110;2006;1;26;11;-17.3
25110;2006;1;26;12;-15.2
25110;2006;1;26;13;-14.8
25110;2006;1;26;14;-11.7
25110;2006;1;26;15;-14.0
25110;2006;1;26;16;-16.0
25110;2006;1;26;17;-17.5
25110;2006;1;26;18;-18.7
25110;2006;1;26;19;-19.0
25110;2006;1;26;20;-18.8
25110;2006;1;26;21;-17.2
25110;2006;1;26;22;-13.6
25110;2006;1;26;23;-13.6
25110;2006;1;26;24;-13.5
25110;2006;1;27;1;-16.2
25110;2006;1;27;2;-16.7
25110;2006;1;27;3;-18.4
25110;2006;1;27;4;-19.3
25110;2006;1;27;5;-17.4
25110;2006;1;27;6;-11.7
25110;2006;1;27;7;-12.1
25110;2006;1;27;8;-14.8
25110;2006;1;27;9;-17.3
25110;2006;1;27;10;-16.9
25110;2006;1;27;11;-13.9
25110;2006;1;27;12;-11.6
25110;2006;1;27;13;-11.7
25110;2006;1;27;14;-9.0
25110;2006;1;27;15;-12.2
25110;2006;1;27;16;-13.7
25110;2006;1;27;17;-15.5
25110;2006;1;27;18;-15.5
25110;2006;1;27;19;-17.2
25110;2006;1;27;20;-19.0
25110;2006;1;27;21;-19.4
25110;2006;1;27;22;-20.6
25110;2006;1;27;23;-19.9
25110;2006;1;27;24;-22.0
25110;2006;1;28;1;-22.9
25110;2006;1;28;2;-22.3
25110;2006;1;28;3;-23.1
25110;2006;1;28;4;-23.2
25110;2006;1;28;5;-22.9
25110;2006;1;28;6;-22.5
25110;2006;1;28;7;-23.2
25110;2006;1;28;8;-22.4
25110;2006;1;28;9;-21.5
25110;2006;1;28;10;-20.4
25110;2006;1;28;11;-17.0
25110;2006;1;28;12;-13.0
25110;2006;1;28;13;-10.1
25110;2006;1;28;14;-10.2
25110;2006;1;28;15;-7.5
25110;2006;1;28;16;0.8
25110;2006;1;28;17;0.7
25110;2006;1;28;18;1.3
25110;2006;1;28;19;0.6
25110;2006;1;28;20;1.5
25110;2006;1;28;21;1.6
25110;2006;1;28;22;1.8
25110;2006;1;28;23;2.4
25110;2006;1;28;24;2.8
25110;2006;1;29;1;3.1
25110;2006;1;29;2;2.4
25110;2006;1;29;3;3.3
25110;2006;1;29;4;3.5
25110;2006;1;29;5;3.9
25110;2006;1;29;6;3.8
25110;2006;1;29;7;3.9
25110;2006;1;29;8;4.2
25110;2006;1;29;9;3.8
25110;2006;1;29;10;4.2
25110;2006;1;29;11;4.1
25110;2006;1;29;12;4.0
