Stnr;År;Mnd;Dag;Time(NMT);TW
76932;2011;1;26;3;7.0
76932;2011;1;26;4;6.9
76932;2011;1;26;5;6.9
76932;2011;1;26;6;7.0
76932;2011;1;26;7;7.0
76932;2011;1;26;8;6.9
76932;2011;1;26;9;6.9
76932;2011;1;26;10;6.9
76932;2011;1;26;11;6.9
76932;2011;1;26;12;6.9
76932;2011;1;26;13;6.9
76932;2011;1;26;14;6.9
76932;2011;1;26;15;6.8
76932;2011;1;26;16;6.9
76932;2011;1;26;17;6.9
76932;2011;1;26;18;6.9
76932;2011;1;26;19;6.9
76932;2011;1;26;20;6.9
76932;2011;1;26;21;6.9
76932;2011;1;26;22;6.8
76932;2011;1;26;23;6.9
76932;2011;1;26;24;6.9
76932;2011;1;27;1;6.8
76932;2011;1;27;2;6.9
76932;2011;1;27;3;6.9
76932;2011;1;27;4;6.9
76932;2011;1;27;5;6.8
76932;2011;1;27;6;6.9
76932;2011;1;27;7;6.9
76932;2011;1;27;8;6.9
76932;2011;1;27;9;6.9
76932;2011;1;27;10;6.9
76932;2011;1;27;11;6.9
76932;2011;1;27;12;6.9
76932;2011;1;27;13;6.9
76932;2011;1;27;14;6.8
76932;2011;1;27;15;6.8
76932;2011;1;27;16;6.8
76932;2011;1;27;17;6.9
76932;2011;1;27;18;6.8
76932;2011;1;27;19;6.8
76932;2011;1;27;20;6.8
76932;2011;1;27;21;6.8
76932;2011;1;27;22;6.8
76932;2011;1;27;23;6.8
76932;2011;1;27;24;6.8
76932;2011;1;28;1;6.8
76932;2011;1;28;2;6.8
76932;2011;1;28;3;6.8
76932;2011;1;28;4;6.8
76932;2011;1;28;5;6.8
76932;2011;1;28;6;6.8
76932;2011;1;28;7;6.8
76932;2011;1;28;8;6.8
76932;2011;1;28;9;6.8
76932;2011;1;28;10;6.8
76932;2011;1;28;11;6.8
76932;2011;1;28;12;6.8
76932;2011;1;28;13;6.8
76932;2011;1;28;14;6.8
76932;2011;1;28;15;6.8
76932;2011;1;28;16;6.8
76932;2011;1;28;17;6.8
76932;2011;1;28;18;6.8
76932;2011;1;28;19;6.8
76932;2011;1;28;20;6.8
76932;2011;1;28;21;6.8
76932;2011;1;28;22;6.8
76932;2011;1;28;23;6.8
76932;2011;1;28;24;6.8
76932;2011;1;29;1;6.8
76932;2011;1;29;2;6.8
76932;2011;1;29;3;6.8
76932;2011;1;29;4;6.8
76932;2011;1;29;5;6.8
76932;2011;1;29;6;6.8
76932;2011;1;29;7;6.8
76932;2011;1;29;8;6.8
76932;2011;1;29;9;6.8
76932;2011;1;29;10;6.8
76932;2011;1;29;11;6.8
76932;2011;1;29;12;6.8
76932;2011;1;29;13;6.8
76932;2011;1;29;14;6.8
76932;2011;1;29;15;6.8
76932;2011;1;29;16;6.8
76932;2011;1;29;17;6.8
76932;2011;1;29;18;6.8
76932;2011;1;29;19;6.9
76932;2011;1;29;20;6.8
76932;2011;1;29;21;6.9
76932;2011;1;29;22;6.9
76932;2011;1;29;23;6.9
76932;2011;1;29;24;6.9
76932;2011;1;30;1;6.9
76932;2011;1;30;2;6.9
76932;2011;1;30;3;6.9
76932;2011;1;30;4;6.9
76932;2011;1;30;5;6.9
76932;2011;1;30;6;6.9
76932;2011;1;30;7;6.9
76932;2011;1;30;8;6.9
76932;2011;1;30;9;6.9
76932;2011;1;30;10;6.9
76932;2011;1;30;11;6.9
76932;2011;1;30;12;6.9
76932;2011;1;30;13;6.9
76932;2011;1;30;14;6.9
76932;2011;1;30;15;6.9
76932;2011;1;30;16;6.9
76932;2011;1;30;17;6.9
76932;2011;1;30;18;6.9
76932;2011;1;30;19;6.9
76932;2011;1;30;20;6.9
76932;2011;1;30;21;6.9
76932;2011;1;30;22;6.9
76932;2011;1;30;23;6.9
76932;2011;1;30;24;6.9
76932;2011;1;31;1;6.9
76932;2011;1;31;2;6.9
76932;2011;1;31;3;6.9
76932;2011;1;31;4;6.9
76932;2011;1;31;5;6.9
76932;2011;1;31;6;6.9
76932;2011;1;31;7;6.9
76932;2011;1;31;8;6.9
76932;2011;1;31;9;6.9
76932;2011;1;31;10;6.9
76932;2011;1;31;11;6.9
76932;2011;1;31;12;7.0
76932;2011;1;31;13;7.0
76932;2011;1;31;14;7.0
76932;2011;1;31;15;7.0
76932;2011;1;31;16;7.0
76932;2011;1;31;17;7.0
76932;2011;1;31;18;7.0
76932;2011;1;31;19;7.0
76932;2011;1;31;20;7.0
76932;2011;1;31;21;7.0
76932;2011;1;31;22;7.0
76932;2011;1;31;23;7.0
76932;2011;1;31;24;7.1
