St.no;Year;Mnth;Date;Time(NMT);TA
68860;2012;2;28;12;4.8
68860;2012;2;28;13;5.3
68860;2012;2;28;14;5.5
68860;2012;2;28;15;4.2
68860;2012;2;28;16;4.8
68860;2012;2;28;17;4.2
68860;2012;2;28;18;4.6
68860;2012;2;28;19;4.8
68860;2012;2;28;20;5.1
68860;2012;2;28;21;5.0
68860;2012;2;28;22;4.8
68860;2012;2;28;23;4.7
68860;2012;2;28;24;5.1
68860;2012;2;29;1;5.0
68860;2012;2;29;2;4.8
68860;2012;2;29;3;4.2
68860;2012;2;29;4;5.2
68860;2012;2;29;5;5.6
68860;2012;2;29;6;5.7
68860;2012;2;29;7;5.0
68860;2012;2;29;8;4.8
68860;2012;2;29;9;4.6
68860;2012;2;29;10;5.5
68860;2012;2;29;11;4.7
68860;2012;2;29;12;5.1
68860;2012;2;29;13;5.6
68860;2012;2;29;14;6.4
68860;2012;2;29;15;7.1
68860;2012;2;29;16;7.1
68860;2012;2;29;17;7.0
68860;2012;2;29;18;6.9
68860;2012;2;29;19;6.9
68860;2012;2;29;20;6.5
68860;2012;2;29;21;5.9
68860;2012;2;29;22;5.6
68860;2012;2;29;23;5.3
68860;2012;2;29;24;4.1
